col.0: MtotZAMS/Msun  col.1:num mergers
430608671.0933955 1734
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_6509 86.8421 73.4346 19.3049 13.5876 32.8925 8028.8989 25.772 0.044718 0.0 3.3938 1.0 1.0 3.76 0.0 -0.0 5.588 0.5266 0.8023 4.03 4.259 True
0_55563 99.9656 74.9932 29.2595 14.5172 43.7767 8.7043 4.7753 0.011422 0.0 0.0 1.0 1.0 6.388 0.0 -0.0 10.09 0.0 -0.0 3.892 4.216 True
0_60227 82.3927 79.9481 15.0671 14.2092 29.2763 7339.9136 23.21 0.0028023 0.0 0.0 1.0 1.0 4.274 -0.0 -0.0 4.241 0.01138 0.0 4.114 4.167 True
0_77788 65.9933 64.8366 11.7172 10.8594 22.5766 1522.4849 12.855 0.033177 5.0628 8.9444 1.0 1.0 25.71 0.178 1.278 28.39 -4.643 -1.126 4.435 4.469 True
0_87895 33.3165 30.3323 6.3175 3.2163 9.5338 8159.7563 21.237 0.76225 47.8689 168.4906 0.9991 0.976 124.8 2.135 17.64 126.8 -43.59 -54.07 6.416 6.917 True
0_125696 84.6496 82.9885 14.8368 14.3274 29.1642 13697.9668 27.161 0.0067622 0.0 0.0 1.0 1.0 3.943 -0.0 0.0 3.886 0.02545 -0.0 4.088 4.115 True
0_149482 64.776 61.6083 13.7712 10.7029 24.4741 10253.0928 22.803 0.1937 3.4042 24.5303 1.0 0.9999 7.253 1.577 0.1115 14.47 -1.737 -2.424 4.447 4.582 True
0_162387 69.9864 69.909 11.7269 11.6548 23.381700000000002 7805.4375 20.013 0.069916 7.9936 12.1046 0.9999 1.0 17.55 0.8466 -3.535 21.94 -1.72 -0.4873 4.349 4.351 True
0_163177 38.3385 29.1614 13.0448 9.9965 23.0413 1306.0558 3512.7 0.99948 5.4696 28.229 0.999 0.9599 0.6959 0.7963 0.6492 13.43 2.725 0.08052 5.801 7.156 False
0_166877 34.1409 30.4729 8.0739 3.0645 11.1384 474.85 5.7283 0.27947 15.2112 144.255 1.0 0.9916 81.8 0.5752 3.836 154.1 -29.68 -16.27 6.296 6.908 True
0_168567 74.6642 60.7406 20.8969 11.7622 32.659099999999995 6314.3794 23.794 0.040947 0.0 4.3094 1.0 1.0 3.824 -0.0 -0.0 18.06 -0.1658 1.169 4.207 4.547 True
0_173040 88.8717 74.2982 19.9612 13.9423 33.9035 4689.2422 22.935 0.017707 0.0 2.075 1.0 1.0 3.887 0.0 -0.0 5.023 0.7451 0.2937 4.005 4.241 True
0_177431 49.3106 49.2776 7.0557 7.0048 14.060500000000001 1994.3468 9.7743 0.125 10.2891 20.0005 0.9999 0.9996 87.9 -0.9677 -3.849 53.26 1.687 -7.518 5.064 5.066 True
0_177903 86.4088 86.151 14.8087 14.7166 29.5253 5051.2451 21.247 0.025716 0.0 0.0 1.0 1.0 4.429 0.0 0.0 4.384 -0.07172 0.0 4.067 4.071 True
0_179333 47.0746 47.0083 6.869 6.783 13.652000000000001 176.0181 5.44 0.26187 55.1933 29.7592 1.0 0.9995 139.5 -10.13 -1.124 91.77 7.621 -13.49 5.188 5.192 True
0_191525 70.9348 69.4517 12.9117 11.7576 24.6693 3198.0649 16.539 0.032794 8.07 8.5303 1.0 0.9999 13.66 2.474 -2.754 18.84 -2.759 -3.134 4.32 4.359 True
0_193034 84.6486 70.5671 21.3304 13.917 35.2474 21.4815 5.787 0.013484 0.0 3.239 1.0 1.0 7.18 0.0 0.0 10.38 -0.07757 -1.273 4.054 4.307 True
0_197313 76.5899 72.806 14.6655 12.6509 27.3164 10759.6689 24.396 0.073176 0.0 2.7426 1.0 1.0 4.339 0.0 0.0 10.51 -0.6156 -0.1312 4.204 4.285 True
0_199411 73.2803 72.978 12.5777 12.3557 24.9334 10553.3555 22.757 0.090337 4.8913 10.0322 1.0 1.0 14.15 -0.8489 -1.366 11.12 4.579 1.615 4.28 4.287 True
0_211548 113.6662 81.5074 28.7724 14.8099 43.582300000000004 10583.7295 33.459 0.020578 0.0 0.0 1.0 1.0 2.658 -0.0 0.0 3.808 0.009659 0.0 3.794 4.117 True
0_212711 33.3451 31.835 4.2759 3.1162 7.3921 12955.8906 15.532 0.65447 43.8516 78.7153 1.0 0.9966 141.1 5.392 -2.117 102.0 -16.61 -12.12 6.441 6.706 True
0_240517 79.7362 79.5565 14.4394 14.3482 28.787599999999998 399.2775 11.014 0.026118 0.0 0.0 1.0 1.0 6.228 -0.0 0.0 6.165 -0.1038 -0.0 4.159 4.163 True
0_245414 72.5964 71.621 12.9916 12.2894 25.281 3717.1816 17.589 0.081565 6.7931 4.5828 1.0 1.0 9.669 2.059 1.418 13.42 1.76 0.7671 4.289 4.312 True
0_245547 44.9115 43.9554 6.5926 5.7963 12.3889 8718.4092 12.775 0.071157 21.0895 73.4887 1.0 0.9972 86.84 3.698 -2.237 72.75 -35.18 -16.04 5.313 5.414 True
0_254087 70.9057 70.7626 12.5648 12.4037 24.9685 628.7574 11.127 0.060471 11.737 3.7644 0.9999 1.0 17.51 4.162 -3.704 18.36 0.6164 -0.988 4.325 4.328 True
0_265267 55.9079 55.717 8.4485 8.305 16.7535 7902.8091 15.69 0.093372 27.3287 20.2248 1.0 1.0 52.91 10.51 -0.9552 47.74 1.284 0.5888 4.762 4.771 True
0_299305 37.1002 34.1547 6.7695 4.032 10.8015 1466.0452 8.652 0.43169 34.0033 105.6105 0.9995 0.9991 101.4 5.611 -11.48 166.2 11.91 10.02 5.948 6.324 True
0_312867 68.1969 64.9115 13.7082 11.1084 24.8166 9535.7021 22.163 0.12023 3.5404 12.5671 1.0 1.0 7.936 0.5805 -1.194 16.45 1.981 2.03 4.369 4.471 True
0_342218 71.1874 66.2077 15.1681 11.804 26.9721 8230.1973 22.483 0.066404 0.0 6.168 1.0 1.0 4.526 -0.0 0.0 18.45 2.008 -0.8099 4.294 4.446 True
0_354304 81.1248 80.9003 14.4401 14.3438 28.7839 1154.7594 14.385 0.013409 0.0 0.0 1.0 1.0 5.451 -0.0 0.0 5.318 -0.06533 -0.0 4.14 4.143 True
0_357102 35.379 33.9358 4.7 3.6606 8.3606 1737.1836 7.635 0.44415 48.3609 86.8767 0.9997 0.9999 165.8 6.499 -7.983 179.5 17.65 4.355 6.174 6.386 True
0_357205 55.8405 55.7389 8.5014 8.4044 16.9058 4215.6401 13.777 0.18517 24.3815 26.0449 0.9999 0.9992 57.17 9.271 2.902 45.81 1.514 10.76 4.764 4.769 True
0_365889 68.715 66.7837 12.6025 11.2044 23.8069 11359.8076 22.544 0.12653 5.0528 18.2665 1.0 0.9998 15.36 -0.4034 -0.6729 13.25 -2.61 -4.161 4.367 4.423 True
0_376826 62.767 61.8285 10.5156 9.8773 20.392899999999997 8942.3125 19.162 0.17719 15.6344 12.1419 0.9999 0.9999 31.4 -5.515 -2.894 35.66 0.9033 4.071 4.527 4.561 True
0_386080 81.7898 73.9896 17.0063 13.7399 30.7462 11647.2002 27.042 0.019174 0.0 5.1706 1.0 1.0 3.864 -0.0 0.0 5.327 -1.998 -1.09 4.104 4.27 True
0_398154 62.8148 58.2084 13.8114 9.6024 23.413800000000002 2561.9143 15.283 0.16267 3.3851 8.7354 1.0 1.0 6.951 1.026 -0.4813 38.13 -2.726 0.6927 4.497 4.662 True
0_398468 60.3514 60.0007 9.7486 9.4911 19.2397 3020.2239 13.601 0.078926 9.6024 21.3568 1.0 0.9997 44.54 0.5765 -0.7209 35.6 -7.536 6.098 4.603 4.616 True
0_410238 41.1467 40.8971 5.1019 4.9033 10.005199999999999 7017.5728 11.384 0.33058 59.6662 86.5548 1.0 0.9991 117.8 -18.78 0.824 91.57 25.74 -8.652 5.615 5.649 True
0_411693 62.0667 56.5615 15.1396 10.1533 25.2929 34.692 5.2422 0.10301 0.0 9.0267 1.0 1.0 9.428 0.0 -0.0 57.69 -1.372 -3.306 4.511 4.705 True
