col.0: MtotZAMS/Msun  col.1:num mergers
430491389.7510028 274
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_6942 50.9151 50.8356 4.8001 4.7478 9.547899999999998 2233.6292 7.9524 0.27315 59.6905 73.7586 0.9999 0.9984 148.1 -18.66 5.854 73.53 23.98 13.12 4.945 4.948 True
0_80347 57.0253 56.9464 5.5849 5.5325 11.1174 1076.5703 9.0222 0.50832 46.6697 26.0927 1.0 0.9997 148.6 4.513 0.8901 103.1 18.18 -10.02 4.705 4.707 True
0_158611 91.0594 90.7083 8.3787 8.2624 16.6411 6810.4365 14.981 0.072798 44.9829 32.6183 0.9999 0.999 59.58 -14.96 -3.568 46.49 10.34 -10.48 4.068 4.072 True
0_211410 117.9396 57.6917 19.3984 11.2422 30.6406 7905.6343 11229.0 0.99964 0.0 16.2899 1.0 -0.2 0.2005 0.02591 0.0 6.455 -1.241 0.11 3.811 4.539 False
0_213101 40.2965 40.2439 3.1045 3.0769 6.1814 8703.5479 13.763 0.70529 57.8357 131.2023 1.0 0.8292 137.1 -10.12 0.6957 82.74 50.31 -33.85 5.603 5.608 True
0_261642 62.6781 58.813 7.5024 5.9658 13.4682 2895.4182 10.461 0.16321 53.5918 36.8037 1.0 0.9997 77.03 20.74 -1.721 69.77 -8.678 -5.01 4.505 4.629 True
0_368230 59.4717 54.935 7.7082 5.7867 13.4949 2963.637 10.752 0.22379 28.9913 34.0812 1.0 1.0 74.04 -7.878 3.333 68.6 -4.307 -1.913 4.585 4.747 True
0_429144 105.3989 87.0987 14.8872 8.5668 23.454 400.4752 9.3275 0.08209 0.0 55.4946 1.0 0.9979 7.313 0.0 -0.0 64.61 6.24 -17.53 3.903 4.094 True
0_434852 70.1028 65.0107 9.0865 6.7123 15.7988 450.221 8.0898 0.35059 8.209 23.3682 1.0 0.9999 71.69 1.388 -2.944 84.05 11.25 -4.446 4.332 4.463 True
0_490065 86.1166 85.8857 8.9 8.7982 17.6982 243.9952 7.2875 0.28629 29.9371 27.3133 1.0 0.9999 76.87 -10.02 -2.354 60.21 -15.31 7.353 4.113 4.116 True
0_597208 105.2777 85.0927 15.477 8.7635 24.2405 445.6708 9.833 0.095612 0.0 9.4066 1.0 1.0 7.149 0.0 -0.0 56.79 1.483 2.352 3.898 4.108 True
0_617707 98.075 97.7258 8.9312 8.8191 17.750300000000003 12483.3867 18.977 0.20136 27.2941 11.3748 0.9999 0.9997 32.06 -1.155 4.387 33.2 6.347 -4.804 4.001 4.004 True
0_663056 90.1807 85.2644 9.9046 8.3121 18.2167 1479.4944 10.854 0.038913 13.6866 5.8658 1.0 1.0 44.37 5.882 0.853 49.2 3.195 -1.703 4.057 4.124 True
0_718184 100.5827 94.8501 10.0794 8.3331 18.4125 5320.2544 15.092 0.044008 32.0701 51.3647 1.0 0.9999 44.52 -4.439 -1.919 65.13 -5.225 -3.096 3.968 4.034 True
