col.0: MtotZAMS/Msun  col.1:num mergers
430582573.8796976 3662
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_6122 61.5653 60.2347 14.9732 14.2787 29.2519 173.3834 9.0169 0.033381 0.0 0.0 1.0 1.0 6.808 0.0 -0.0 6.992 -0.03488 0.0 4.553 4.601 True
0_8532 58.6625 53.3243 16.6765 11.5959 28.2724 497.0178 11.463 0.09086 0.0 16.4004 1.0 1.0 6.044 0.0 -0.0 21.21 -3.385 -2.32 4.63 4.867 True
0_10988 42.2396 42.2119 7.0249 6.9719 13.9968 1285.3396 14.943 0.68603 23.0546 74.5441 1.0 0.9995 101.8 8.826 -1.982 81.31 -31.81 15.5 5.573 5.576 True
0_25091 133.5059 132.0003 24.6862 24.2843 48.9705 3083.2095 27.404 0.016981 0.0 0.0 1.0 1.0 3.004 -0.0 0.0 3.016 0.02775 0.0 3.654 3.661 True
0_27695 71.4512 56.6461 27.5431 14.5788 42.1219 664.1948 16.236 0.013922 0.0 0.0 1.0 1.0 3.702 0.0 0.0 5.448 -0.05294 0.0 4.281 4.694 True
0_29415 49.3417 48.2113 10.5212 9.4175 19.9387 1482.033 11.881 0.15718 26.3402 23.8773 0.9998 0.9998 42.9 6.944 -6.56 52.79 -4.474 6.796 5.071 5.15 True
0_30211 61.0695 60.7386 14.3483 14.1608 28.5091 588.3704 12.046 0.0069701 0.0 0.0 1.0 1.0 5.983 -0.0 -0.0 5.835 -0.03967 -0.0 4.576 4.589 True
0_38155 45.8745 33.8449 8.644 4.0915 12.7355 5577.646 16.464 0.59514 33.5149 95.2702 0.9999 0.9969 14.59 6.362 -0.4456 108.5 -16.54 19.1 5.291 6.498 True
0_43915 107.6315 95.5571 24.1981 19.8055 44.0036 11467.8027 35.246 0.0081332 0.0 0.0 1.0 1.0 2.755 0.0 -0.0 3.025 -0.02174 -0.0 3.809 3.923 True
0_45080 94.1921 89.8038 21.3271 19.2667 40.5938 4472.0957 26.122 0.0071065 0.0 0.0 1.0 1.0 3.399 -0.0 0.0 3.489 0.02289 -0.0 3.934 4.012 True
0_49406 38.2459 16.4965 9.9561 3.6544 13.610499999999998 181.4412 4.992 0.21072 25.9757 84.0407 0.9446 0.9972 6.828 -2.155 -4.615 186.3 4.088 17.97 5.898 10.84 True
0_53128 101.3708 94.1873 23.0229 19.9285 42.9514 5940.0767 29.289 0.02125 0.0 0.0 1.0 1.0 3.109 0.0 -0.0 3.328 -0.02183 -0.0 3.862 3.959 True
0_60834 42.3263 41.2343 8.0163 6.9329 14.9492 274.3584 7.2713 0.42132 23.8944 41.382 1.0 0.9997 87.43 -7.879 -1.567 128.1 6.881 -10.26 5.546 5.651 True
