col.0: MtotZAMS/Msun  col.1:num mergers
430669009.9262963 116
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_90138 93.5399 39.5639 22.653 7.9349 30.587899999999998 1697.7526 5348.5 0.99958 0.0 39.4364 1.0 0.5185 0.2748 -0.001869 0.0 10.16 -6.566 0.1668 3.963 5.703 False
0_108954 33.6348 26.7439 6.8224 3.0066 9.829 7027.9849 39.898 0.9001 56.422 144.4226 0.9947 0.9671 3.423 -9.903 -0.5821 85.7 5.812 -3.899 6.258 7.992 True
0_393759 50.0319 41.4571 8.5306 9.5476 18.0782 3312.6162 7069.0 0.99972 25.1393 26.3949 0.8504 -0.8406 3.893 1.009 -3.734 12.46 -8.304 0.1168 4.953 5.433 False
0_518959 35.9323 35.8853 3.1348 3.0885 6.2233 9859.6064 8.1891 0.21703 117.1699 78.4722 0.9907 0.984 183.9 -1.811 33.65 96.59 19.19 -27.27 6.079 6.085 True
0_543204 38.3829 37.7972 3.504 3.1653 6.6693 9922.6846 48.166 0.93543 90.994 109.0148 1.0 0.8594 64.34 8.207 0.04168 81.01 14.65 11.08 5.813 5.886 True
0_557070 65.2283 28.3411 16.1508 7.4201 23.5709 2593.6992 2578.6 0.99899 4.7382 36.8448 0.9998 -0.4354 1.716 0.3614 0.1684 11.97 7.815 0.2889 4.413 6.915 False
0_683385 48.4339 48.377 5.2418 5.1699 10.4117 7585.5601 11.133 0.18632 20.5756 73.9559 0.9999 0.9878 112.5 5.799 4.418 70.27 -9.214 -32.21 5.091 5.093 True
0_843336 67.8194 64.4662 9.572 7.8896 17.461599999999997 8992.7412 16.61 0.057894 17.848 35.0715 0.9996 0.9994 36.78 0.5919 -7.38 47.84 -13.29 -6.647 4.388 4.48 True
0_1149776 51.2918 49.5534 6.8028 5.8885 12.6913 715.6539 7.7296 0.34725 35.1659 53.7828 0.9998 0.9999 102.6 10.26 7.421 102.9 3.362 4.231 4.923 5.014 True
0_1180381 53.9731 52.2663 7.4352 6.3817 13.8169 343.0929 7.3515 0.43522 35.6013 16.7428 1.0 1.0 102.3 13.35 -3.54 114.4 -16.13 -1.896 4.806 4.89 True
0_1279524 38.2116 35.4227 5.3799 3.3527 8.7326 4270.8315 8.9401 0.33223 37.8918 118.8436 0.9999 0.9996 113.0 10.4 -3.299 127.4 -26.15 3.559 5.764 6.093 True
