col.0: MtotZAMS/Msun  col.1:num mergers
430491389.7510028 60
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_413266 58.4747 56.0484 6.0281 5.2408 11.2689 8686.6875 12.717 0.27705 42.1537 77.0604 0.9978 0.9959 82.6 1.124 -14.89 89.24 2.237 13.05 4.642 4.73 True
0_573904 63.2143 61.7437 6.7398 6.1728 12.9126 715.3352 7.781 0.33677 20.0122 24.1332 1.0 1.0 107.5 7.597 1.025 97.37 -31.44 -0.7796 4.511 4.556 True
0_800339 41.2047 38.5833 4.3657 3.1497 7.5154000000000005 607.2093 90.324 0.98783 103.7152 82.791 1.0 0.865 48.46 -24.07 0.369 30.12 47.42 2.095 5.464 5.711 True
0_1277035 109.8837 107.6905 10.846 10.1994 21.0454 426.0418 8.9309 0.10277 12.5458 12.1573 0.9999 1.0 34.99 -3.17 4.349 42.55 -5.797 -2.695 3.903 3.921 True
0_1446694 35.068 34.632 4.8033 4.2849 9.0882 2466.8176 539.33 0.99715 44.7018 98.9011 0.9797 -0.5 25.37 -9.826 4.222 36.01 41.13 -2.006 5.998 6.052 True
0_1555829 34.6147 34.563 3.9411 3.8796 7.8207 2079.5891 152.4 0.98935 35.8773 75.1309 0.9996 -0.7747 29.92 -3.103 -0.6149 49.77 1.835 2.304 6.066 6.074 True
0_1734873 36.4654 33.8318 5.6813 3.6146 9.2959 2979.3469 163.87 0.98713 57.2331 104.7755 0.9834 0.11 22.31 11.89 -11.52 60.69 3.663 -4.626 5.84 6.461 True
0_1961639 52.9939 51.3576 4.9063 4.4162 9.3225 2682.27 84.306 0.97166 132.0595 71.4556 0.9945 0.9077 41.49 -39.4 -14.93 40.69 -36.16 -4.065 4.846 4.925 True
0_2041893 67.2282 32.3236 6.179 4.8705 11.0495 1789.6852 48.857 0.94328 63.4136 143.5601 0.8744 0.9326 3.089 3.959 -4.956 90.79 -2.836 -5.647 4.428 7.0 True
0_2790128 43.8353 41.0131 5.0415 3.671 8.7125 9719.1475 10.131 0.12414 57.0485 60.5915 0.9979 0.9984 122.6 -7.827 -17.67 99.25 -35.6 9.239 5.28 5.501 True
0_2908676 45.0407 44.9727 4.0535 3.9914 8.0449 3041.6111 11.233 0.64345 57.7074 49.6542 0.9993 0.9993 193.5 11.72 12.15 114.7 -56.29 13.73 5.256 5.26 True
0_3108980 52.0847 39.2423 6.3483 3.0174 9.3657 13272.6064 86.84 0.95488 15.3955 205.4118 0.9406 0.7968 2.809 -1.335 -0.2572 86.01 -46.48 8.748 4.842 5.649 True
