col.0: MtotZAMS/Msun  col.1:num mergers
430582573.8796976 1285
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_6122 61.5653 60.2347 14.6209 13.8312 28.4521 5968.7134 21.557 0.023306 0.0 0.7698 1.0 1.0 4.468 -0.0 0.0 5.967 0.0583 -0.2132 4.557 4.605 True
0_7032 98.6372 97.0289 20.958 20.2976 41.2556 380.5552 14.246 0.006395 0.0 0.0 1.0 1.0 4.535 -0.0 -0.0 4.528 0.02768 -0.0 3.89 3.907 True
0_8532 58.6625 53.3243 16.3689 11.272 27.640900000000002 10821.0137 24.486 0.078192 0.0 11.0803 1.0 1.0 4.125 0.0 -0.0 20.54 -4.686 0.5478 4.631 4.871 True
0_17890 22.6734 19.6239 4.2393 3.2545 7.4938 386.4516 4.242 0.28042 25.6553 120.477 0.9964 0.9963 5.496 1.835 0.2646 232.2 -4.893 28.79 9.279 12.24 True
0_27695 71.4512 56.6461 27.1102 14.5487 41.6589 12785.0137 34.058 0.019147 0.0 0.0 1.0 1.0 2.606 0.0 0.0 3.791 -0.03328 0.0 4.281 4.695 True
0_32982 32.4507 15.0613 6.3903 3.108 9.4983 12633.5742 18.606 0.6668 18.8908 56.0097 0.9793 0.9998 8.076 0.6971 1.725 133.4 -13.2 4.284 6.673 11.9 True
0_60834 42.3263 41.2343 7.6105 6.5668 14.177299999999999 6129.1133 12.922 0.077891 63.7985 53.9757 0.9968 0.9984 75.9 -9.331 19.76 75.11 14.55 -12.36 5.55 5.657 True
0_97139 66.8983 55.0522 23.2662 14.0607 37.3269 13250.292 31.903 0.0049936 0.0 4.0532 1.0 1.0 2.954 0.0 0.0 3.913 -0.1379 1.519 4.383 4.765 True
0_114469 42.5126 39.9857 9.2954 6.4308 15.7262 8548.7725 15.296 0.1411 17.1069 63.8736 0.9998 0.998 43.22 -5.427 -5.094 71.15 -16.09 10.32 5.513 5.759 True
0_130263 130.7811 89.8038 36.2912 19.3224 55.613600000000005 5354.2749 33.851 0.034068 0.0 0.0 1.0 1.0 9.361 0.0 -0.0 3.314 0.0944 0.0 3.683 3.981 True
0_138118 49.045 48.9279 9.2032 9.0352 18.2384 7763.9648 16.912 0.16091 7.869 34.7943 1.0 0.9993 38.26 1.95 -0.6457 42.44 -8.411 -7.456 5.103 5.111 True
0_141146 31.0987 30.5945 3.6687 3.1818 6.8505 7021.6553 8.7172 0.35685 92.2379 141.9366 0.9964 0.9968 163.5 9.186 -17.83 200.6 21.74 20.05 6.953 7.068 True
0_154306 61.8216 59.7496 14.9465 13.7092 28.6557 10211.8271 24.884 0.038027 0.0 4.5197 1.0 1.0 4.142 -0.0 -0.0 6.133 0.8163 2.023 4.545 4.62 True
0_167976 51.3972 50.8545 10.5161 9.9093 20.4254 6418.5024 18.594 0.29574 24.434 34.3794 0.9993 0.999 35.42 2.52 -9.839 25.34 0.446 -13.22 4.97 5.002 True
0_169181 66.8041 62.3537 17.6498 14.9266 32.5764 30.2557 6.0917 0.010988 0.0 0.0 1.0 1.0 7.642 -0.0 -0.0 8.332 -0.06593 -0.0 4.39 4.525 True
0_198100 48.7414 48.4271 9.6418 9.2308 18.8726 503.61 9.4072 0.32713 14.6006 19.8765 1.0 1.0 55.81 6.041 1.98 51.32 -2.255 0.661 5.115 5.135 True
0_220570 49.3187 43.3475 16.6281 9.1246 25.752699999999997 100.4731 6.9646 0.065612 0.0 20.7876 1.0 0.9999 7.621 0.0 -0.0 67.33 -2.198 -4.372 5.037 5.426 True
0_246069 34.786 13.0103 6.6745 3.0247 9.699200000000001 1266.4475 6.6017 0.24022 28.1055 153.8722 0.9131 0.9979 8.285 0.5393 -4.012 184.9 -36.0 -12.4 6.329 12.09 True
0_268193 83.332 66.0778 27.6189 15.587 43.2059 10394.8428 33.308 0.0091913 0.0 0.0 1.0 1.0 2.614 0.0 -0.0 3.655 0.02762 -0.0 4.07 4.412 True
0_272488 29.965 29.8949 3.0714 3.0174 6.0888 9326.5801 7.6588 0.090579 151.9599 133.7353 0.9918 0.995 174.6 14.73 -19.03 162.4 46.68 20.31 7.19 7.208 True
0_292741 60.156 53.9473 17.2155 12.4595 29.674999999999997 6956.3169 23.135 0.085649 0.0 9.7916 1.0 1.0 4.208 0.0 -0.0 9.834 -0.0702 -1.603 4.577 4.829 True
0_293466 45.7946 30.6699 7.7818 3.0627 10.8445 2690.2825 9.4495 0.39664 35.8379 135.0938 0.994 0.9834 17.59 -3.775 -3.355 160.4 -10.08 -36.3 5.312 7.061 True
0_300495 38.6979 16.5268 9.5058 3.8852 13.391000000000002 10034.9639 14.679 0.31873 22.6504 68.9262 0.9528 0.9998 6.845 -0.7603 -3.305 108.5 19.37 3.03 5.852 10.72 True
0_323448 28.5576 21.3768 11.7415 3.4026 15.1441 23.1724 139.7 0.99641 16.7354 134.07 0.9437 0.7686 8.212 -1.622 -1.949 81.17 -1.182 -0.8769 7.423 9.754 True
0_327086 27.4931 15.8673 3.3885 3.413 6.8015 8062.9136 8.797 0.32472 55.028 89.2165 0.4273 0.9961 9.809 -0.772 3.583 158.7 -11.92 23.74 7.695 12.26 True
0_328883 53.8454 52.6983 11.8979 10.5404 22.438299999999998 9727.3125 20.471 0.051877 3.798 19.316 1.0 1.0 16.68 1.171 1.015 30.8 4.218 -1.44 4.85 4.911 True
0_365921 34.9278 11.0638 5.3058 3.1658 8.471599999999999 4817.6318 9.5184 0.40796 31.6818 111.3641 0.9145 0.9961 7.141 2.683 4.513 161.6 -32.44 -20.31 6.33 12.21 True
0_370701 58.521 57.3905 14.029 12.691 26.72 1931.8967 15.508 0.056134 2.1362 5.0531 1.0 1.0 5.774 0.8288 -0.6443 15.86 1.773 -0.5996 4.66 4.707 True
0_403673 74.4534 74.3286 16.5331 16.4279 32.961 5125.8315 23.157 0.020907 0.0 0.0 1.0 1.0 4.003 -0.0 -0.0 3.961 -0.05907 -0.0 4.234 4.237 True
0_407240 48.0161 32.5153 8.5738 3.568 12.1418 6732.8169 14.408 0.49645 34.5004 70.3647 0.9839 0.9974 14.37 1.742 5.941 121.2 -12.93 -14.54 5.168 6.733 True
0_416276 30.258 28.7136 5.1768 3.2801 8.456900000000001 13090.5908 264.47 0.98898 76.1432 32.2228 1.0 0.7452 24.75 26.56 -0.6078 18.21 -8.0 -1.506 7.065 7.411 True
0_446022 38.092 13.8544 8.473 3.288 11.761000000000001 4373.0742 11.774 0.43961 30.8683 95.1396 0.9361 0.9969 8.839 -0.8044 -4.967 139.0 21.95 -15.01 5.92 11.46 True
0_482036 63.903 61.1576 15.8598 14.3395 30.1993 441.5838 11.7 0.025284 0.0 0.0 1.0 1.0 5.84 0.0 -0.0 6.122 0.09289 0.0 4.477 4.57 True
0_501096 26.5104 21.4348 7.0169 3.3203 10.3372 4820.937 12.889 0.56132 59.0993 32.0229 0.3274 0.9998 13.39 3.104 -6.1 141.4 3.89 -4.362 7.942 10.78 True
0_505135 25.9643 19.8233 4.7827 3.6628 8.4455 3455.5149 13.217 0.69179 76.8312 102.0277 -0.3185 0.9932 13.23 3.559 -4.253 142.6 8.742 41.3 8.106 11.44 True
0_520254 46.5181 16.7393 10.5238 3.9954 14.5192 7911.0 13.849 0.22437 6.4072 126.6952 0.9993 1.0 4.189 -0.6431 -0.6263 110.4 27.39 -0.2551 5.226 10.08 True
0_586220 27.3224 17.7004 3.2355 4.0194 7.2549 1585.3553 5.7055 0.19111 80.5685 101.8675 0.0591 1.0 11.73 0.764 -4.145 177.0 -0.05702 -2.783 7.743 11.69 True
0_590669 38.8948 34.6388 12.2143 4.9712 17.185499999999998 4898.9595 13.554 0.12276 15.4948 89.942 1.0 0.9932 20.08 -7.234 2.986 96.23 1.077 -15.15 5.825 6.358 True
0_610893 53.2629 52.3178 11.535 10.5498 22.0848 7322.6489 19.237 0.1633 4.9558 17.3327 1.0 0.9996 23.13 -0.3995 1.342 28.27 3.323 -7.837 4.877 4.927 True
0_624020 49.7761 47.14 12.2806 9.2218 21.5024 655.3878 10.136 0.13675 14.5142 25.3233 0.9999 0.9998 19.51 1.124 5.511 58.35 8.552 6.356 5.034 5.199 True
0_626842 37.6857 34.1372 10.0788 4.7303 14.809099999999999 1741.4532 13.363 0.57779 10.5198 117.5791 1.0 1.0 56.49 3.256 1.122 90.27 -33.18 1.347 5.957 6.432 True
0_629008 38.5834 30.2813 7.9831 3.2595 11.2426 5813.4634 14.154 0.55901 25.3305 152.3945 0.9977 0.9798 7.61 -4.935 -1.689 139.2 -11.89 42.22 5.875 7.082 True
0_666625 110.6349 110.356 21.958 21.7724 43.7304 3741.5376 26.427 0.017575 0.0 0.0 1.0 1.0 3.238 0.0 0.0 3.232 0.03578 0.0 3.788 3.791 True
0_671904 31.6059 10.8798 3.8723 3.013 6.8853 640.3414 6.6011 0.63437 82.2017 67.641 0.1943 0.9978 13.36 0.5296 -6.193 221.7 9.042 -27.56 6.86 12.7 True
0_689420 88.23 76.6051 22.7205 16.9613 39.6818 8560.4678 30.176 0.0088739 0.0 0.0 1.0 1.0 3.082 0.0 0.0 3.583 -0.02766 -0.0 4.001 4.189 True
0_695943 37.0242 35.5 6.499 4.78 11.279 818.4473 9.1446 0.56788 9.1097 94.8041 1.0 0.9979 121.2 -0.2046 -3.528 181.2 15.37 -24.94 6.06 6.274 True
0_711243 36.9751 11.7036 5.5107 3.8575 9.3682 5813.7861 12.854 0.55901 19.5087 107.2048 0.9997 0.9975 6.681 1.984 -0.4241 128.9 -39.34 19.95 6.085 11.51 True
0_740686 23.9393 23.5422 8.9437 3.7178 12.6615 1585.4258 929.49 0.99845 50.6591 70.8063 0.3741 -0.9462 21.44 6.106 6.18 28.6 5.345 0.3527 8.772 8.933 False
0_756263 54.7356 52.2362 13.6863 10.7468 24.4331 10569.8965 22.586 0.14126 1.2318 28.7297 1.0 0.9996 7.307 0.4632 0.2497 23.23 -10.65 6.013 4.8 4.926 True
0_791971 58.4338 54.0154 15.7002 11.9965 27.6967 5503.4312 20.603 0.022995 0.0 8.4379 1.0 1.0 4.507 0.0 0.0 19.83 1.031 -1.101 4.643 4.834 True
0_801389 95.1359 94.9709 19.738 19.6092 39.3472 6608.2168 28.212 0.0096606 0.0 0.0 1.0 1.0 3.31 0.0 0.0 3.258 -0.02898 -0.0 3.929 3.931 True
0_822927 34.7277 12.7601 4.753 3.8938 8.6468 6761.0479 13.915 0.61998 52.0649 89.2168 0.8388 0.9937 9.271 -1.319 -6.172 125.0 17.29 -35.71 6.374 11.58 True
