col.0: MtotZAMS/Msun  col.1:num mergers
430608671.0933955 276
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_55563 99.9656 74.9932 26.8155 14.1574 40.9729 803.4144 16.685 0.010086 0.0 0.0 1.0 1.0 3.849 0.0 0.0 5.432 0.04279 0.0 3.893 4.223 True
0_71433 25.6706 25.5763 8.1401 4.799 12.9391 8088.1284 203.83 0.9813 31.4505 78.1586 0.6986 0.9841 14.44 -4.56 2.776 41.28 -29.74 0.7068 7.99 8.003 True
0_193034 84.6486 70.5671 19.9841 12.9439 32.928 2491.5405 19.112 0.05307 0.0 5.6296 1.0 1.0 4.308 0.0 0.0 10.07 0.8139 1.373 4.055 4.315 True
0_362093 38.1191 36.7541 4.9698 3.9093 8.879100000000001 4158.0229 14.003 0.67871 47.7807 171.4628 1.0 0.9489 83.47 -15.41 1.672 131.8 3.222 23.33 5.875 6.052 True
0_365805 33.9865 32.2683 4.7022 3.1804 7.8826 1695.9739 5.9756 0.084749 43.7391 59.8818 0.9994 0.9975 183.2 -3.389 12.18 134.8 27.0 15.58 6.346 6.637 True
0_411693 62.0667 56.5615 14.3102 9.3648 23.675 3910.28 16.885 0.11756 0.0 5.6231 1.0 1.0 5.609 0.0 -0.0 36.33 0.827 1.592 4.515 4.715 True
0_421194 77.7642 77.5714 13.5972 13.367 26.9642 8604.1133 22.805 0.058825 4.3169 2.5156 1.0 1.0 6.255 1.792 -1.008 6.911 0.7468 0.7114 4.197 4.201 True
0_479930 112.7397 112.2116 17.233 17.0435 34.2765 2724.8979 20.33 0.01124 0.0 0.0 1.0 1.0 4.183 0.0 0.0 4.116 -0.04243 -0.0 3.816 3.82 True
0_526383 130.9856 92.2962 28.5809 15.6307 44.2116 8741.7061 32.353 0.020043 0.0 0.0 1.0 1.0 2.723 0.0 -0.0 3.763 0.01488 -0.0 3.702 3.984 True
0_691497 95.7782 80.2718 20.0958 14.2646 34.3604 7095.2163 25.775 0.023522 0.0 0.0 1.0 1.0 3.628 0.0 0.0 4.318 0.04669 0.0 3.933 4.147 True
0_755611 33.99 31.8654 4.9571 3.0807 8.0378 3315.804 11.092 0.6327 35.9642 164.4429 0.9993 0.8411 101.6 1.63 9.87 114.6 2.81 36.58 6.337 6.699 True
0_810160 35.1977 34.9045 3.5463 3.3096 6.8559 2170.1682 38.952 0.94838 78.0998 210.6459 0.9909 -0.9861 62.69 -11.31 6.348 135.2 -6.782 3.067 6.242 6.289 True
0_954939 73.0671 71.9093 13.1247 12.2148 25.3395 4286.3696 18.348 0.10794 6.9226 6.9239 1.0 1.0 8.785 2.091 -1.758 14.44 -1.479 -1.963 4.28 4.307 True
0_956467 83.0322 72.1098 17.9953 12.6241 30.6194 7731.1963 24.151 0.020969 0.0 4.4415 1.0 1.0 3.98 0.0 -0.0 12.68 1.623 -0.3748 4.082 4.293 True
0_970756 69.7567 68.2553 12.9292 11.7666 24.6958 827.6138 11.868 0.088336 6.4852 7.5852 1.0 1.0 14.17 2.799 1.149 24.19 0.9245 2.781 4.344 4.382 True
0_1173138 113.7151 110.1526 17.8602 17.0244 34.8846 1319.4413 17.179 0.011439 0.0 0.0 1.0 1.0 4.509 0.0 -0.0 4.523 0.04657 0.0 3.806 3.833 True
0_1402062 84.4889 65.6595 24.494 12.3616 36.855599999999995 2596.6335 20.647 0.046197 0.0 9.7459 1.0 0.9999 3.707 0.0 0.0 14.5 1.099 3.11 4.057 4.418 True
0_1428457 56.6238 54.2708 10.2526 8.3446 18.5972 5394.3184 16.822 0.32366 18.4511 40.2394 0.9999 0.9996 37.55 -6.991 4.22 32.68 3.697 7.498 4.713 4.82 True
0_1450524 25.9862 19.7095 6.29 8.1991 14.4891 270.6074 3968.1 0.99985 53.9282 42.9611 0.4193 0.2834 9.032 -4.831 6.207 21.68 -15.4 -0.3029 7.899 10.92 False
0_1663826 84.4184 84.2695 14.6221 14.5264 29.1485 3697.1731 19.44 0.023086 0.0 0.0 1.0 1.0 4.654 0.0 0.0 4.594 -0.07714 0.0 4.093 4.095 True
0_1700392 56.382 56.2724 8.4377 8.3108 16.7485 9548.3652 16.873 0.18706 26.8711 35.7486 1.0 0.9996 57.43 2.196 0.5403 51.83 -11.55 -6.741 4.745 4.75 True
0_1739790 117.8964 94.3168 22.5556 15.6247 38.1803 10142.1396 30.531 0.017404 0.0 0.0 1.0 1.0 3.156 0.0 0.0 3.778 0.04213 0.0 3.767 3.967 True
0_1761441 142.1076 139.2179 18.6933 18.2396 36.932900000000004 12852.5244 31.907 0.016166 0.0 0.0 1.0 1.0 3.216 0.0 0.0 3.207 -0.04085 0.0 3.673 3.684 True
0_1792829 57.6728 57.5801 8.8173 8.6901 17.507399999999997 5373.6699 14.819 0.13437 15.7367 38.0615 1.0 0.9985 51.37 -3.784 0.1762 54.07 -8.19 14.07 4.697 4.701 True
0_1796925 33.6203 33.6071 3.1737 3.15 6.3237000000000005 941.3622 66.807 0.98206 117.0627 138.0567 0.999 0.6425 114.2 22.55 9.439 100.7 -46.35 -21.05 6.462 6.464 True
0_2022868 49.1144 47.2508 8.4026 7.0307 15.4333 867.3355 11.066 0.52043 30.0785 38.1194 0.9997 0.9996 74.48 4.979 -10.47 80.79 6.74 -10.81 5.049 5.163 True
0_2066554 54.8955 49.06 14.0798 8.2509 22.3307 12029.2891 22.97 0.29708 1.1295 33.677 1.0 1.0 5.51 0.285 0.2533 33.53 -4.343 -1.297 4.751 5.03 True
0_2139934 101.3019 93.5533 17.5678 15.4822 33.05 7785.9961 25.791 0.013766 0.0 0.0 1.0 1.0 3.786 0.0 -0.0 3.943 -0.04609 -0.0 3.895 3.979 True
0_2174867 90.638 68.9466 26.0469 13.2774 39.3243 1701.8834 19.484 0.015912 0.0 2.315 1.0 1.0 3.661 0.0 0.0 9.14 -0.6009 0.4048 3.984 4.339 True
0_2240022 29.6776 29.1478 5.5044 4.5086 10.013000000000002 2509.1589 552.46 0.99697 84.8604 77.6816 0.9296 -0.9832 24.88 -23.58 -19.68 43.39 -4.755 -0.5451 7.03 7.132 True
