col.0: MtotZAMS/Msun  col.1:num mergers
430526789.57950795 11098
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_1824 78.7776 28.7983 22.879 20.2184 43.0974 12296.0938 35.38 0.011602 0.0 0.0 1.0 1.0 1.96 0.0 0.0 2.968 -0.0 0.0 4.131 7.183 False
0_3397 50.0277 16.4203 14.4022 11.7665 26.1687 2835.6243 16.746 0.043143 0.0 6.899 1.0 1.0 3.074 0.0 -0.0 23.16 -0.01943 0.7415 5.067 9.272 False
0_5510 25.9866 12.2585 3.2986 3.9172 7.2158 7761.0488 9.4998 0.38573 97.261 64.8296 0.8393 0.998 15.48 -0.7789 9.891 139.1 7.549 -19.75 8.294 14.1 True
0_7410 24.4324 22.8267 3.4429 6.9729 10.4158 10094.1963 13.678 0.44251 54.2236 39.8848 0.3039 0.9981 8.433 1.863 -2.958 45.19 -1.343 25.16 8.804 11.26 True
0_7820 97.1433 32.1595 26.3694 22.6333 49.0027 3202.3721 27.627 0.010204 0.0 0.0 1.0 1.0 1.96 0.0 -0.0 3.193 0.0 -0.0 3.885 6.779 False
0_13748 91.9424 29.4775 24.0966 21.0474 45.144 645.8555 17.374 0.011076 0.0 0.0 1.0 1.0 2.174 -0.0 0.0 4.161 0.0 -0.0 3.956 6.965 False
0_14116 82.352 35.2994 23.626 22.6044 46.2304 7995.623 33.424 0.010815 0.0 0.0 1.0 1.0 1.784 -0.0 0.0 2.838 0.0 0.0 4.072 6.743 False
0_15387 25.2833 22.2487 3.3905 7.1159 10.5064 6168.6987 10.772 0.28956 67.675 19.877 0.8464 0.9999 12.12 -2.314 -3.994 63.7 -3.834 -5.198 8.511 11.21 True
0_15570 27.6004 12.6525 3.7858 4.158 7.9438 7048.8784 10.919 0.4816 75.8263 57.0146 0.9961 0.9993 12.85 -7.751 -1.385 125.5 24.36 -12.05 7.84 13.42 True
0_19197 70.5426 27.7032 20.1902 19.2165 39.4067 3029.4009 23.168 0.012688 0.0 0.0 1.0 1.0 2.182 0.0 0.0 3.702 -0.0 0.0 4.308 7.387 False
0_20373 29.864 29.1847 4.3581 3.5282 7.8863 4857.7588 8.765 0.35099 71.2419 49.5673 0.9981 1.0 182.6 -9.305 -20.43 101.2 42.67 -2.452 7.313 7.491 True
0_22431 75.5628 24.0302 19.7068 18.1206 37.8274 199.6627 11.281 0.013218 0.0 0.0 1.0 1.0 2.54 -0.0 0.0 5.506 -0.0 0.0 4.225 7.528 False
0_24089 72.3045 24.3526 20.7059 18.1314 38.8373 3371.2251 23.515 0.012874 0.0 0.0 1.0 1.0 2.348 -0.0 0.0 3.851 0.0 0.0 4.267 7.608 False
0_24158 61.4863 21.7229 17.6614 16.2506 33.912 2102.2661 18.885 0.014744 0.0 0.0 1.0 1.0 2.586 0.0 0.0 4.493 0.0 0.0 4.565 8.119 False
0_25528 25.555 14.9137 3.1849 4.5989 7.7838 7874.0869 10.495 0.43768 60.9363 80.7897 0.9552 0.9935 10.8 0.06763 4.599 115.6 -15.39 -40.26 8.429 13.24 True
0_25919 89.8699 29.0733 24.4463 20.8859 45.3322 1945.2665 23.001 0.01103 0.0 0.0 1.0 1.0 2.144 0.0 0.0 3.646 0.0 -0.0 3.974 7.017 False
0_32022 74.3529 31.7405 21.6716 20.6734 42.345 13080.7998 35.503 0.011808 0.0 0.0 1.0 1.0 1.828 0.0 -0.0 2.882 -0.0 -0.0 4.217 7.055 False
0_37100 27.3806 17.9298 3.8538 5.9439 9.7977 10478.2725 11.954 0.28713 85.6726 40.2882 0.7039 0.9995 12.61 1.487 8.015 84.93 -12.22 10.4 7.893 11.88 True
0_37466 82.0985 28.3034 23.6928 20.3786 44.0714 9945.6729 34.058 0.011345 0.0 0.0 1.0 1.0 1.996 0.0 0.0 3.029 -0.0 -0.0 4.075 7.168 False
0_39686 25.4883 11.9961 3.2637 3.4257 6.6894 3633.0381 7.6441 0.42323 143.3271 95.081 0.3302 0.9943 23.08 5.058 -10.5 174.0 7.874 -35.11 8.448 14.56 True
0_40302 53.2025 19.4512 15.3894 14.4459 29.8353 6638.1987 22.945 0.016759 0.0 0.0 1.0 1.0 2.556 0.0 0.0 4.304 -0.0 -0.0 4.898 8.712 False
