col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 927
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_9969 86.5743 26.6596 20.801 17.5136 38.3146 5753.3096 26.64 0.01305 0.0 0.0 1.0 1.0 2.085 0.0 -0.0 3.71 -0.0 -0.0 4.028 7.212 False
0_36580 105.0017 32.9873 23.5065 20.1829 43.6894 5613.4604 29.224 0.011444 0.0 0.0 1.0 1.0 1.815 0.0 -0.0 3.287 0.0 0.0 3.831 6.688 False
0_76462 88.5196 28.8583 21.3437 18.1848 39.528499999999994 9240.5557 30.799 0.012649 0.0 0.0 1.0 1.0 1.951 0.0 0.0 3.378 0.0 -0.0 3.999 7.057 False
0_79508 81.7257 25.5138 19.5816 16.9496 36.5312 2682.1086 21.207 0.013687 0.0 0.0 1.0 1.0 2.217 0.0 0.0 4.204 0.0 0.0 4.105 7.346 False
0_79749 102.3317 34.1225 23.7558 20.2452 44.001000000000005 13023.3398 36.445 0.011363 0.0 0.0 1.0 1.0 1.724 0.0 -0.0 2.943 0.0 0.0 3.847 6.65 False
0_80229 76.2744 24.054 18.9644 16.1295 35.093900000000005 5192.688 24.303 0.014247 0.0 0.0 1.0 1.0 2.249 0.0 -0.0 4.04 0.0 -0.0 4.193 7.554 False
0_112080 66.8662 21.5923 17.1116 14.7533 31.8649 6035.9082 23.499 0.015691 0.0 0.0 1.0 1.0 2.399 0.0 -0.0 4.284 0.0 0.0 4.403 7.975 False
0_112298 93.3403 28.3553 22.0834 18.3326 40.416 7763.0337 29.931 0.012371 0.0 0.0 1.0 1.0 1.974 0.0 0.0 3.43 -0.0 -0.0 3.941 7.034 False
0_147741 69.8017 23.1254 17.8511 15.3699 33.221 12866.6504 29.435 0.015051 0.0 0.0 1.0 1.0 2.183 0.0 -0.0 3.752 0.0 -0.0 4.326 7.773 False
0_169816 72.7696 23.2905 18.4782 15.6513 34.1295 11693.5039 29.3 0.01465 0.0 0.0 1.0 1.0 2.195 0.0 0.0 3.738 -0.0 0.0 4.26 7.695 False
0_211933 76.4834 24.6879 19.1393 16.3065 35.4458 7876.1562 27.242 0.014106 0.0 0.0 1.0 1.0 2.173 -0.0 0.0 3.794 0.0 -0.0 4.187 7.508 False
0_224045 99.3427 32.7255 23.2293 19.7375 42.9668 12257.8086 35.247 0.011637 0.0 0.0 1.0 1.0 1.774 0.0 0.0 3.033 0.0 0.0 3.875 6.739 False
