col.0: MtotZAMS/Msun  col.1:num mergers
430608671.0933955 94
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_90530 53.3076 47.5996 10.4112 9.2821 19.6933 57.5102 5.0709 0.13509 7.5664 6.9719 1.0 1.0 117.4 4.125 1.239 69.94 -0.4761 -2.01 4.816 5.319 True
0_149290 31.6352 17.0566 9.8385 3.0859 12.9244 941.0563 413.38 0.99673 15.6933 74.9204 0.9639 -0.1778 4.354 3.446 -3.71 43.59 -3.359 0.7517 6.671 11.37 True
0_861288 31.9953 21.2718 8.5979 8.586 17.1839 11.065 1496.1 0.99989 9.4679 41.8792 0.9985 0.5499 2.885 1.908 -0.3939 23.87 3.534 0.152 6.615 9.742 False
0_922640 57.8737 54.7673 11.6843 11.818 23.502299999999998 30.8648 4.8022 0.074174 0.0 6.6351 1.0 1.0 101.9 0.2674 -0.0 33.93 -2.474 2.162 4.634 5.097 True
0_1085259 36.7689 36.2739 3.9853 3.6726 7.6579 407.1007 75.988 0.98599 115.2694 90.6432 0.9702 -0.9766 57.87 -18.65 30.57 55.64 9.485 -1.343 6.047 6.115 True
0_1138247 57.7443 54.0683 11.753 11.5141 23.2671 50.6111 5.506 0.09005 0.0 7.5666 1.0 1.0 95.12 -1.051 -0.0 33.72 2.571 -1.233 4.642 5.108 True
0_1607739 54.5124 51.2608 10.2397 10.7173 20.957 38.3625 4.7163 0.10668 5.5555 14.8351 1.0 0.9999 119.2 5.266 -0.3361 48.36 4.658 5.987 4.763 5.241 True
0_1688231 43.9136 36.451 4.0147 3.6274 7.642100000000001 2419.3359 8.7069 0.54304 58.9579 119.0064 0.9993 0.9971 253.6 7.78 -12.0 129.0 57.67 -26.97 5.407 6.1 True
0_1914952 47.6509 43.2072 7.5785 8.0722 15.6507 160.5058 5.7197 0.19877 17.2776 50.1465 1.0 0.9992 157.3 2.547 1.773 81.98 -17.27 -18.52 5.106 5.633 True
0_1925627 67.7542 32.8846 20.1442 9.8847 30.0289 25.1923 9448.6 0.99996 0.0 17.7694 1.0 -0.4015 0.2372 -0.08312 -0.0 5.906 -3.271 -0.03494 4.347 6.266 False
0_1939128 56.3975 50.6913 11.7034 10.3342 22.037599999999998 19.1455 3.9668 0.13159 0.0 18.3073 1.0 0.9999 91.21 -8.265 0.0 55.85 1.266 6.65 4.684 5.169 True
