col.0: MtotZAMS/Msun  col.1:num mergers
430582573.8796976 97
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_169181 66.8041 62.3537 16.822 14.3786 31.2006 10113.9541 26.396 0.0064323 0.0 0.0 1.0 1.0 3.803 0.0 -0.0 4.046 -0.02436 -0.0 4.394 4.533 True
0_220915 31.5571 30.6068 4.1777 3.2374 7.4151 1553.6052 53.45 0.96698 138.0225 105.9662 0.9798 0.9475 74.2 -21.88 -5.051 35.63 50.76 -3.235 6.85 7.08 True
0_500273 32.0714 32.0024 3.7354 3.6028 7.3382 9391.042 53.669 0.93936 55.8586 119.7629 0.9988 0.9964 188.1 -6.773 -15.36 222.6 -65.57 37.29 6.798 6.811 True
0_776784 41.3278 18.2612 15.0464 3.7941 18.8405 846.5721 839.06 0.99822 0.0 96.7466 1.0 -0.517 0.3542 -0.135 0.0 41.91 8.929 -0.6369 5.595 10.6 True
0_812436 35.1027 31.3858 4.6965 3.2379 7.9344 4553.1235 55.516 0.95141 89.8885 130.3186 0.988 -0.1855 55.75 16.75 22.91 72.82 -8.074 -13.49 6.341 6.927 True
0_920518 51.076 44.9322 16.4064 9.5983 26.0047 10094.9004 22.724 0.062801 0.0 14.6554 1.0 1.0 4.282 0.0 -0.0 36.63 1.212 -0.4228 4.944 5.311 True
0_954773 32.8171 23.536 14.6526 10.2765 24.9291 8058.5938 22305.0 0.99986 9.9868 57.608 0.9771 -0.9992 2.106 -0.3725 3.482 19.63 -18.79 -0.01838 6.611 8.646 False
0_1074099 41.8296 18.6773 15.0128 3.7965 18.8093 1524.1589 541.14 0.99607 0.0 90.1903 1.0 -0.7935 0.4203 -0.08034 -0.0 44.04 6.079 0.5139 5.55 10.41 True
0_1374792 50.5596 25.2095 17.6783 12.0749 29.7532 1117.7888 4831.0 0.99962 0.0 32.1128 1.0 0.586 0.3751 -0.01498 0.0 14.85 3.724 -0.2195 4.969 7.849 False
0_1484027 33.3366 30.8507 6.5021 3.3972 9.8993 4408.9097 8.8367 0.062585 41.0257 70.8053 0.9999 0.9969 110.8 -7.691 3.156 127.8 -13.98 12.87 6.535 6.993 True
0_1677909 51.4418 48.1302 13.629 9.2367 22.8657 3256.4883 15.553 0.029942 4.1636 24.7982 1.0 0.9997 6.923 0.448 -0.2092 44.95 -5.313 -4.889 4.942 5.143 True
0_1696859 35.244 31.9866 8.5053 3.994 12.4993 6530.771 13.396 0.39642 12.1732 90.8167 1.0 0.9995 55.61 -0.6672 3.093 143.2 7.629 -6.136 6.256 6.77 True
0_1815045 26.7733 24.5297 9.2931 3.0714 12.364500000000001 10.8632 49.482 0.99431 23.1619 183.7422 0.9985 -0.0964 9.063 -4.926 0.6995 82.67 -3.654 2.894 7.87 9.394 True
0_2015341 33.7489 18.6138 10.3981 3.06 13.4581 5303.9561 15.546 0.57448 27.1206 182.1916 0.9661 0.9877 8.416 -2.535 -2.343 113.5 15.2 7.785 6.47 10.86 True
0_2034537 48.2476 30.7206 8.5581 3.0955 11.653599999999999 6578.7158 14.307 0.5334 25.157 183.3298 0.9971 0.9753 1.677 1.969 -2.172 123.7 17.74 13.29 5.154 7.05 True
0_2267610 30.3983 12.7863 3.9767 3.0962 7.072900000000001 219.933 55.564 0.98435 50.5148 133.7097 0.9793 0.9952 7.448 5.595 1.063 89.4 12.67 0.6154 7.059 12.58 True
0_2289186 63.106 62.6018 14.6524 14.297 28.9494 1680.9644 15.884 0.032171 0.0 0.0 1.0 1.0 5.154 0.0 -0.0 5.22 0.05758 -0.0 4.513 4.53 True
0_3139190 52.1367 50.2507 12.0811 9.8512 21.932299999999998 3127.5122 15.612 0.20587 10.6008 13.894 1.0 0.9999 23.21 -2.984 2.873 33.44 -2.917 3.861 4.921 5.027 True
0_3753097 56.0999 16.9091 14.1455 7.2513 21.3968 2310.0898 351.9 0.99028 3.2502 75.5288 0.9995 0.9602 1.071 -0.07781 -0.7039 33.45 -3.687 -0.7185 4.745 9.191 False
1_14977 47.0502 44.2793 11.3778 12.2238 23.6016 12.8057 3.4965 0.076767 0.0 8.872 1.0 1.0 136.6 16.99 0.0 31.26 0.1664 2.472 5.168 5.65 True
1_369240 81.7356 77.7028 18.8689 16.9899 35.8588 3732.1721 22.74 0.015601 0.0 0.0 1.0 1.0 3.833 0.0 -0.0 4.005 -0.04972 0.0 4.098 4.171 True
1_657952 84.295 82.6326 18.462 17.6682 36.1302 8055.0596 27.847 0.022413 0.0 0.0 1.0 1.0 3.468 0.0 -0.0 3.533 -0.04453 -0.0 4.063 4.091 True
1_1026831 32.5282 19.4041 10.7993 12.8709 23.6702 2685.978 3701.2 0.99931 13.4494 27.8998 0.9926 -0.3751 -0.05475 0.4636 2.175 15.02 -7.245 0.3741 6.658 10.64 False
1_1593565 53.1141 49.8982 13.6625 14.532 28.194499999999998 11.4346 3.8255 0.017734 0.0 0.0 1.0 1.0 96.65 14.12 -0.0 10.19 -0.0 0.0 4.846 5.296 True
1_2019127 66.9308 54.5954 24.1215 13.5019 37.623400000000004 3020.7566 21.908 0.0095267 0.0 3.3234 1.0 1.0 3.446 0.0 -0.0 8.465 0.7643 0.6246 4.383 4.786 True
1_2024063 34.1362 30.8287 8.3829 3.7002 12.0831 5254.6777 10.766 0.15339 30.472 140.6155 0.9994 0.9724 68.18 -2.282 -10.78 131.6 -12.89 34.61 6.409 6.973 True
1_2524793 27.8266 23.3937 11.6256 6.0922 17.7178 6613.6138 414.68 0.99017 15.4484 69.8425 0.99 0.2636 6.982 -3.652 2.551 32.97 0.359 -2.104 7.597 9.215 True
1_2585564 43.3776 15.6519 13.6815 3.0811 16.7626 5963.2979 361.55 0.99059 4.4882 97.379 0.996 -0.759 1.044 0.07492 1.701 51.38 -2.534 -0.7919 5.428 12.04 True
1_2744341 29.1077 22.3667 10.8021 11.8597 22.6618 2378.2219 1892.4 0.99858 16.4632 42.6161 0.9942 -0.6731 1.396 -0.3267 2.245 25.1 6.72 -0.5021 7.3 9.828 False
1_2804850 53.9311 51.727 13.0017 10.332 23.3337 8378.0889 20.503 0.12924 6.8057 12.4235 0.9999 0.9998 13.22 0.4898 2.792 24.64 0.03973 4.53 4.837 4.953 True
1_2922007 33.6546 30.0109 14.9816 13.4566 28.438200000000002 1312.354 4605.5 0.99954 11.2873 27.502 0.8775 0.9874 3.731 -0.04418 2.192 14.59 1.428 -0.05404 6.483 7.078 False
1_2956490 30.107 29.1152 7.9133 5.4412 13.3545 1480.5327 195.13 0.98885 37.8347 90.3776 0.974 0.9348 34.72 0.9488 7.113 49.66 9.235 -1.272 7.086 7.287 True
1_3133200 27.2449 27.0374 11.4039 5.5005 16.9044 67.9656 4.6044 0.18326 45.1524 36.1139 -0.373 0.9999 21.11 3.832 -0.8844 152.4 -3.135 5.389 7.744 7.807 False
1_3406132 46.6348 39.025 6.1779 5.4256 11.6035 215.2881 5.3981 0.36544 31.5563 11.6288 0.9999 1.0 200.0 -6.841 6.42 137.9 4.29 2.971 5.253 5.88 True
1_3501574 32.0995 31.8666 3.664 3.3862 7.0502 10317.79 11.284 0.50275 10.4318 204.4179 0.9999 0.9974 104.9 2.556 1.935 194.8 6.563 9.625 6.791 6.839 True
1_3639163 46.7574 45.433 9.4238 7.9032 17.326999999999998 4310.7954 13.854 0.12825 32.4494 28.9643 1.0 0.9998 56.82 -2.575 -0.9369 57.56 11.1 4.981 5.225 5.326 True
1_3690286 36.8978 33.5733 9.141 4.4175 13.5585 12536.0518 17.041 0.40782 14.8101 71.5822 1.0 0.9992 51.81 1.666 0.2542 69.39 -18.76 -7.975 6.049 6.52 True
1_3737359 49.4879 45.5785 12.4659 12.8623 25.3282 10.4317 3.3474 0.044042 0.0 6.8781 1.0 1.0 81.45 9.767 0.0 27.73 -1.483 3.106 5.028 5.501 True
1_3769436 44.5298 42.0113 9.9406 7.3069 17.2475 6903.0049 15.77 0.18553 22.2653 33.7383 1.0 0.9998 37.53 9.709 -1.916 69.91 4.846 4.621 5.36 5.569 True
1_3920338 43.54 39.0625 13.7113 7.161 20.8723 205.2105 7.1248 0.055416 3.8236 78.366 1.0 0.9999 14.98 0.982 0.8334 103.8 -11.89 -4.062 5.416 5.809 True
2_348561 51.5017 31.2539 18.4281 15.1944 33.6225 41.7507 9108.6 0.99994 0.0 11.3828 1.0 0.7993 0.07476 0.02275 0.0 5.333 0.3021 0.039 4.922 6.675 False
2_533967 43.1585 17.7436 14.606 6.7582 21.3642 13837.0459 1577.7 0.99697 0.0 47.6562 1.0 0.9691 0.302 -0.1544 -0.0 25.01 4.995 -0.1584 5.443 10.93 False
2_933950 33.3639 30.5236 7.0749 3.5601 10.635 78.6687 27.563 0.96103 71.3449 143.1061 0.993 0.9756 34.65 12.38 -24.19 80.98 17.86 -2.819 6.527 7.04 True
